,name,open,high,low,prev.close,L.T.P,chng,per.chng,volume,value,52W H,52W L,30D per.chng
0,NIFTY 50,"25,788.45","25,907.60","25,739.20","25,810.85","25,796.90",-13.95,-0.05,"24,74,23,786","27,473.19","26,277.35","18,837.85",2.22
1,TECHM,"1,580.00","1,642.90","1,580.00","1,577.20","1,623.00",45.80,2.90,"51,76,596",841.31,"1,672.00","1,098.15",-0.68
2,M&M,"3,105.50","3,185.45","3,095.80","3,094.90","3,168.00",73.10,2.36,"40,28,211","1,268.10","3,222.10","1,450.00",12.84
3,BRITANNIA,"6,306.90","6,463.60","6,306.90","6,338.15","6,452.15",114.00,1.80,"4,16,639",266.74,"6,463.60","4,347.70",10.09
4,INFY,"1,875.00","1,908.95","1,875.00","1,875.60","1,906.00",30.40,1.62,"40,29,072",765.11,"1,975.75","1,351.65",-2.02
5,ADANIENT,"3,136.30","3,192.00","3,107.00","3,135.85","3,183.00",47.15,1.50,"13,67,116",431.59,"3,743.90","2,142.00",5.52
6,KOTAKBANK,"1,847.00","1,884.75","1,847.00","1,853.95","1,881.65",27.70,1.49,"48,71,526",911.74,"1,942.00","1,543.85",5.54
7,HCLTECH,"1,790.00","1,822.45","1,790.00","1,796.10","1,816.45",20.35,1.13,"16,42,542",296.44,"1,828.55","1,208.55",3.61
8,ADANIPORTS,"1,448.20","1,472.85","1,448.00","1,448.20","1,463.20",15.00,1.04,"16,87,795",246.75,"1,621.40",754.50,-0.97
9,SBIN,788.00,800.35,788.00,787.90,795.50,7.60,0.96,"1,32,80,535","1,057.29",912.00,543.20,-2.29
10,HEROMOTOCO,"5,712.40","5,794.00","5,665.00","5,712.40","5,765.00",52.60,0.92,"7,42,940",425.87,"6,246.25","2,923.95",5.40
11,WIPRO,540.20,549.60,540.20,541.45,546.05,4.60,0.85,"47,05,637",257.28,579.90,375.05,1.55
12,TRENT,"7,600.00","7,647.45","7,522.25","7,574.65","7,635.00",60.35,0.80,"5,59,721",425.09,"7,939.90","1,945.00",6.34
13,NESTLEIND,"2,690.00","2,710.00","2,672.90","2,689.95","2,707.20",17.25,0.64,"5,52,759",148.93,"2,778.00","2,225.52",8.25
14,CIPLA,"1,660.00","1,667.05","1,651.55","1,654.10","1,663.95",9.85,0.60,"9,45,740",156.94,"1,683.00","1,132.00",0.60
15,HINDALCO,755.00,765.50,745.20,756.20,760.00,3.80,0.50,"44,02,151",333.42,765.50,448.75,8.58
16,GRASIM,"2,794.05","2,813.65","2,755.00","2,795.55","2,807.85",12.30,0.44,"4,42,630",123.37,"2,877.75","1,828.05",3.79
17,ULTRACEMCO,"11,802.00","11,887.70","11,650.25","11,802.00","11,849.85",47.85,0.41,"3,24,906",383.05,"12,138.00","8,045.05",4.74
18,TCS,"4,255.55","4,295.75","4,242.95","4,268.50","4,283.25",14.75,0.35,"18,23,365",778.89,"4,592.25","3,311.00",-5.84
19,ICICIBANK,"1,269.80","1,280.25","1,267.60","1,273.00","1,277.00",4.00,0.31,"1,09,72,413","1,397.97","1,362.35",899.00,3.68
20,BAJFINANCE,"7,660.10","7,814.65","7,651.00","7,703.00","7,722.00",19.00,0.25,"7,88,288",610.00,"8,192.00","6,187.80",6.98
21,BAJAJFINSV,"1,973.00","2,007.10","1,969.05","1,973.40","1,975.20",1.80,0.09,"13,26,900",263.38,"2,029.90","1,419.05",10.78
22,DRREDDY,"6,751.60","6,785.40","6,678.05","6,751.60","6,750.85",-0.75,-0.01,"3,47,618",233.70,"7,107.45","5,205.55",-4.01
23,TATACONSUM,"1,196.95","1,205.45","1,191.60","1,196.95","1,195.00",-1.95,-0.16,"8,92,381",106.83,"1,256.44",846.53,-0.32
24,HDFCBANK,"1,724.00","1,742.00","1,720.10","1,732.05","1,728.30",-3.75,-0.22,"1,22,86,142","2,120.38","1,794.00","1,363.55",5.46
